enrollment_id,student_id,course_id,term_code,grade_point,grade_letter,completion_status,feedback_rating,hours_per_week,engagement_score
ENR-01816,STU-0004,MAC-COMP-8130,2025S,3.33,B+,completed,4.0,10.4,0.86
ENR-00040,STU-0004,MAC-BU-7600,2026S,2.58,B-,completed,5.0,6.6,0.91
ENR-00042,STU-0004,MAC-COMP-8890,2026S,3.43,A-,completed,4.0,6.8,0.74
ENR-01323,STU-0004,MAC-COMP-8540,2026S,3.33,B+,completed,3.0,8.9,0.62
ENR-01464,STU-0004,MAC-COMP-8610,2026S,3.0,B,completed,3.0,7.3,0.71
ENR-02111,STU-0004,MAC-COMP-8540,2026S,3.33,B+,completed,3.0,8.9,0.62
ENR-02252,STU-0004,MAC-COMP-8610,2026S,3.0,B,completed,3.0,7.3,0.71
ENR-00035,STU-0004,MAC-COMP-8250,2026W,3.86,A,completed,3.0,8.3,0.63
ENR-00036,STU-0004,MAC-COMP-8150,2026W,2.68,B-,completed,4.0,6.1,0.73
ENR-00043,STU-0005,MAC-COMP-8110,2025F,2.92,B,completed,4.0,12.0,0.66
ENR-01042,STU-0005,MAC-COMP-8130,2026F,3.67,A-,completed,4.0,12.0,0.82
ENR-01294,STU-0005,MAC-COMP-8500,2026F,3.8,A,completed,3.0,11.4,0.64
ENR-01660,STU-0005,MAC-COMP-8790,2026F,3.33,B+,completed,3.0,7.8,0.75
ENR-01830,STU-0005,MAC-COMP-8130,2026F,3.67,A-,completed,4.0,12.0,0.82
ENR-02082,STU-0005,MAC-COMP-8500,2026F,3.8,A,completed,3.0,11.4,0.64
ENR-02448,STU-0005,MAC-COMP-8790,2026F,3.33,B+,completed,3.0,7.8,0.75
ENR-01111,STU-0005,MAC-COMP-8207,2026S,3.0,B,completed,4.0,6.0,0.59
ENR-01171,STU-0005,MAC-COMP-8390,2026S,4.0,A+,completed,5.0,7.9,0.83
ENR-01899,STU-0005,MAC-COMP-8207,2026S,3.0,B,completed,4.0,6.0,0.59
ENR-01959,STU-0005,MAC-COMP-8390,2026S,4.0,A+,completed,5.0,7.9,0.83
ENR-00044,STU-0005,MAC-COMP-8150,2026W,3.81,A,completed,4.0,8.2,0.72
ENR-00045,STU-0005,MAC-COMP-8340,2026W,3.3,A-,completed,5.0,12.7,0.45
ENR-00053,STU-0006,MAC-COMP-8250,2025F,2.87,B,completed,5.0,6.3,0.65
ENR-00054,STU-0006,MAC-COMP-8220,2025F,3.37,A-,completed,5.0,6.6,0.59
ENR-00055,STU-0006,MAC-BU-7500,2025F,3.32,A-,completed,5.0,6.4,0.83
ENR-01208,STU-0006,MAC-COMP-8490,2025F,3.0,B,completed,5.0,13.6,0.42
ENR-01996,STU-0006,MAC-COMP-8490,2025F,3.0,B,completed,5.0,13.6,0.42
ENR-00049,STU-0006,MAC-COMP-8150,2025S,3.53,A-,completed,3.0,7.9,0.47
ENR-00050,STU-0006,MAC-COMP-8340,2025S,4.0,A+,completed,4.0,8.9,0.59
ENR-00051,STU-0006,MAC-COMP-8470,2025S,2.87,B,completed,4.0,6.0,0.47
ENR-01076,STU-0006,MAC-COMP-8130,2025S,3.67,A-,completed,3.0,11.9,0.49
ENR-01864,STU-0006,MAC-COMP-8130,2025S,3.67,A-,completed,3.0,11.9,0.49
ENR-00048,STU-0006,MAC-COMP-8110,2025W,3.77,A,completed,5.0,7.9,0.66
ENR-01306,STU-0006,MAC-COMP-8500,2026F,3.8,A,completed,4.0,7.0,0.89
ENR-02094,STU-0006,MAC-COMP-8500,2026F,3.8,A,completed,4.0,7.0,0.89
ENR-00065,STU-0007,MAC-COMP-8250,2025F,3.64,A-,completed,5.0,13.3,0.57
ENR-00066,STU-0007,MAC-COMP-8340,2025F,2.97,B,completed,3.0,13.6,0.67
ENR-00067,STU-0007,MAC-BU-7600,2025F,2.98,B,completed,5.0,6.6,0.71
ENR-00061,STU-0007,MAC-COMP-8150,2025S,3.55,A-,completed,5.0,7.7,0.85
ENR-00062,STU-0007,MAC-COMP-8220,2025S,3.25,B+,completed,4.0,11.1,0.69
ENR-00064,STU-0007,MAC-COMP-8470,2025S,3.12,B+,completed,3.0,6.7,0.84
ENR-01416,STU-0007,MAC-COMP-8590,2025S,4.0,A+,completed,3.0,7.4,0.87
ENR-02204,STU-0007,MAC-COMP-8590,2025S,4.0,A+,completed,3.0,7.4,0.87
ENR-00060,STU-0007,MAC-COMP-8110,2025W,3.14,B+,completed,5.0,11.3,0.48
ENR-01087,STU-0007,MAC-COMP-8207,2026F,3.0,B,completed,5.0,13.4,0.7
ENR-01186,STU-0007,MAC-COMP-8390,2026F,3.67,A-,completed,5.0,7.3,0.64
ENR-01666,STU-0007,MAC-COMP-8790,2026F,3.67,A-,completed,4.0,10.8,0.79
ENR-01875,STU-0007,MAC-COMP-8207,2026F,3.0,B,completed,5.0,13.4,0.7
ENR-01974,STU-0007,MAC-COMP-8390,2026F,3.67,A-,completed,5.0,7.3,0.64
ENR-00077,STU-0008,MAC-COMP-8340,2025F,3.81,A,completed,3.0,11.2,0.58
ENR-00078,STU-0008,MAC-BU-7500,2025F,3.36,A-,completed,3.0,10.0,0.58
ENR-00079,STU-0008,MAC-BU-7600,2025F,3.18,B+,completed,3.0,7.2,0.49
ENR-01408,STU-0008,MAC-COMP-8590,2025F,3.67,A-,completed,4.0,11.0,0.54
ENR-02196,STU-0008,MAC-COMP-8590,2025F,3.67,A-,completed,4.0,11.0,0.54
ENR-00073,STU-0008,MAC-COMP-8250,2025S,3.6,A-,completed,5.0,8.8,0.63
ENR-00074,STU-0008,MAC-COMP-8150,2025S,3.49,A-,completed,3.0,9.2,0.52
ENR-00075,STU-0008,MAC-COMP-8220,2025S,2.83,B,completed,4.0,14.0,0.87
ENR-00076,STU-0008,MAC-COMP-8470,2025S,3.63,A-,completed,5.0,6.4,0.74
ENR-01423,STU-0009,MAC-COMP-8590,2025F,3.33,B+,completed,5.0,8.8,0.92
ENR-02211,STU-0009,MAC-COMP-8590,2025F,3.33,B+,completed,5.0,8.8,0.92
ENR-00087,STU-0009,MAC-BU-7500,2025W,3.14,B+,completed,3.0,9.8,0.88
ENR-00088,STU-0009,MAC-BU-7700,2025W,2.64,B-,completed,3.0,11.6,0.59
ENR-01620,STU-0009,MAC-COMP-8740,2026F,3.33,B+,completed,5.0,6.6,0.89
ENR-01803,STU-0009,MAC-BU-8140,2026F,3.33,B+,completed,4.0,11.2,0.55
ENR-02408,STU-0009,MAC-COMP-8740,2026F,3.33,B+,completed,5.0,6.6,0.89
ENR-02591,STU-0009,MAC-BU-8140,2026F,3.33,B+,completed,4.0,11.2,0.55
ENR-01259,STU-0009,MAC-COMP-8490,2026W,3.67,A-,completed,5.0,13.7,0.78
ENR-00091,STU-0010,MAC-COMP-8220,2025S,3.27,B+,completed,4.0,9.9,0.5
ENR-00092,STU-0010,MAC-COMP-8250,2025S,2.84,B,completed,5.0,10.4,0.77
ENR-00093,STU-0010,MAC-COMP-8150,2025S,3.54,A-,completed,4.0,10.0,0.78
ENR-00089,STU-0010,MAC-COMP-8110,2025W,3.56,A-,completed,4.0,12.6,0.92
ENR-01350,STU-0010,MAC-COMP-8540,2026F,3.8,A,completed,4.0,7.8,0.53
ENR-02138,STU-0010,MAC-COMP-8540,2026F,3.8,A,completed,4.0,7.8,0.53
ENR-01288,STU-0010,MAC-COMP-8500,2026S,3.0,B,completed,4.0,11.5,0.6
ENR-01739,STU-0010,MAC-BU-8130,2026S,3.33,B+,completed,3.0,6.2,0.42
ENR-00094,STU-0011,MAC-COMP-8110,2025F,3.89,A,completed,4.0,7.2,0.58
ENR-01324,STU-0011,MAC-COMP-8540,2026F,3.33,B+,completed,5.0,8.3,0.61
ENR-02112,STU-0011,MAC-COMP-8540,2026F,3.33,B+,completed,5.0,8.3,0.61
ENR-00099,STU-0011,MAC-COMP-8220,2026S,3.06,B+,completed,5.0,13.1,0.81
ENR-01508,STU-0011,MAC-COMP-8640,2026S,3.0,B,completed,5.0,13.6,0.69
ENR-01588,STU-0011,MAC-COMP-8740,2026S,3.67,A-,completed,5.0,13.1,0.58
ENR-02296,STU-0011,MAC-COMP-8640,2026S,3.0,B,completed,5.0,13.6,0.69
ENR-02376,STU-0011,MAC-COMP-8740,2026S,3.67,A-,completed,5.0,13.1,0.58
ENR-00095,STU-0011,MAC-COMP-8250,2026W,3.64,A-,completed,5.0,13.2,0.54
ENR-00103,STU-0012,MAC-COMP-8110,2024F,3.39,A-,completed,4.0,7.7,0.77
ENR-00112,STU-0012,MAC-COMP-8830,2025F,2.92,B,completed,5.0,8.9,0.87
ENR-00113,STU-0012,MAC-COMP-8720,2025F,3.14,B+,completed,5.0,6.3,0.91
ENR-00108,STU-0012,MAC-COMP-8150,2025S,4.0,A+,completed,4.0,8.4,0.84
ENR-00109,STU-0012,MAC-BU-7700,2025S,3.58,A-,completed,5.0,8.6,0.91
ENR-00110,STU-0012,MAC-BU-7600,2025S,3.83,A,completed,5.0,11.5,0.49
ENR-01173,STU-0012,MAC-COMP-8390,2025S,3.67,A-,completed,3.0,7.0,0.93
ENR-01385,STU-0012,MAC-COMP-8570,2025S,3.67,A-,completed,5.0,7.1,0.95
ENR-01961,STU-0012,MAC-COMP-8390,2025S,3.67,A-,completed,3.0,7.0,0.93
ENR-02173,STU-0012,MAC-COMP-8570,2025S,3.67,A-,completed,5.0,7.1,0.95
ENR-00104,STU-0012,MAC-COMP-8340,2025W,3.24,B+,completed,4.0,7.2,0.46
ENR-00105,STU-0012,MAC-COMP-8470,2025W,3.78,A,completed,3.0,9.5,0.74
ENR-00106,STU-0012,MAC-COMP-8220,2025W,3.55,A-,completed,3.0,13.8,0.61
ENR-00107,STU-0012,MAC-COMP-8250,2025W,3.06,B+,completed,5.0,11.1,0.8
ENR-01621,STU-0012,MAC-COMP-8740,2026F,2.67,B-,completed,3.0,8.4,0.43
ENR-02409,STU-0012,MAC-COMP-8740,2026F,2.67,B-,completed,3.0,8.4,0.43
ENR-01039,STU-0012,MAC-COMP-8130,2026S,3.8,A,completed,5.0,6.7,0.43
ENR-01155,STU-0012,MAC-COMP-8380,2026S,3.0,B,completed,4.0,7.0,0.78
ENR-00115,STU-0013,MAC-COMP-8110,2024F,2.88,B,completed,3.0,6.4,0.68
ENR-01072,STU-0013,MAC-COMP-8130,2025S,3.67,A-,completed,4.0,6.6,0.52
ENR-01455,STU-0013,MAC-COMP-8590,2025S,3.0,B,completed,5.0,12.5,0.46
ENR-01860,STU-0013,MAC-COMP-8130,2025S,3.67,A-,completed,4.0,6.6,0.52
ENR-02243,STU-0013,MAC-COMP-8590,2025S,3.0,B,completed,5.0,12.5,0.46
ENR-00119,STU-0013,MAC-COMP-8220,2025W,3.64,A-,completed,5.0,8.6,0.59
ENR-01213,STU-0013,MAC-COMP-8490,2026F,3.0,B,completed,5.0,10.8,0.45
ENR-01580,STU-0013,MAC-COMP-8700,2026F,3.0,B,completed,3.0,6.5,0.81
ENR-01744,STU-0013,MAC-BU-8130,2026F,3.0,B,completed,4.0,12.6,0.5
ENR-00120,STU-0014,MAC-COMP-8110,2025F,2.89,B,completed,3.0,13.7,0.73
ENR-01367,STU-0014,MAC-COMP-8540,2025F,2.67,B-,completed,5.0,9.2,0.68
ENR-01669,STU-0014,MAC-COMP-8790,2025F,3.33,B+,completed,4.0,12.6,0.81
ENR-02155,STU-0014,MAC-COMP-8540,2025F,2.67,B-,completed,5.0,9.2,0.68
ENR-02457,STU-0014,MAC-COMP-8790,2025F,3.33,B+,completed,4.0,12.6,0.81
ENR-01035,STU-0014,MAC-COMP-8130,2025S,3.8,A,completed,5.0,12.4,0.62
ENR-01125,STU-0014,MAC-COMP-8207,2025S,3.67,A-,completed,5.0,10.7,0.86
ENR-01823,STU-0014,MAC-COMP-8130,2025S,3.8,A,completed,5.0,12.4,0.62
ENR-01913,STU-0014,MAC-COMP-8207,2025S,3.67,A-,completed,5.0,10.7,0.86
ENR-00126,STU-0015,MAC-COMP-8220,2025S,3.57,A-,completed,5.0,9.3,0.5
ENR-00127,STU-0015,MAC-COMP-8250,2025S,3.65,A-,completed,3.0,12.8,0.89
ENR-00128,STU-0015,MAC-COMP-8470,2025S,3.09,B+,completed,5.0,10.8,0.63
ENR-01672,STU-0015,MAC-COMP-8790,2025S,3.0,B,completed,5.0,12.2,0.65
ENR-02460,STU-0015,MAC-COMP-8790,2025S,3.0,B,completed,5.0,12.2,0.65
ENR-00125,STU-0015,MAC-COMP-8110,2025W,3.41,A-,completed,4.0,10.1,0.89
ENR-01534,STU-0015,MAC-COMP-8640,2026F,3.67,A-,completed,3.0,6.3,0.86
ENR-02322,STU-0015,MAC-COMP-8640,2026F,3.67,A-,completed,3.0,6.3,0.86
ENR-01107,STU-0015,MAC-COMP-8207,2026W,3.8,A,completed,4.0,13.1,0.44
ENR-01206,STU-0015,MAC-COMP-8490,2026W,3.33,B+,completed,5.0,6.4,0.81
ENR-01488,STU-0015,MAC-COMP-8610,2026W,3.33,B+,completed,3.0,11.8,0.82
ENR-01543,STU-0016,MAC-COMP-8640,2025S,3.67,A-,completed,3.0,9.1,0.63
ENR-02331,STU-0016,MAC-COMP-8640,2025S,3.67,A-,completed,3.0,9.1,0.63
ENR-00139,STU-0016,MAC-COMP-8340,2026S,3.31,A-,completed,5.0,12.0,0.56
ENR-00140,STU-0016,MAC-COMP-8150,2026S,3.42,A-,completed,4.0,11.9,0.5
ENR-01251,STU-0016,MAC-COMP-8490,2026S,3.0,B,completed,3.0,9.7,0.7
ENR-02039,STU-0016,MAC-COMP-8490,2026S,3.0,B,completed,3.0,9.7,0.7
ENR-00135,STU-0016,MAC-COMP-8110,2026W,3.2,B+,completed,3.0,13.5,0.46
ENR-00136,STU-0016,MAC-BU-7600,2026W,3.61,A-,completed,3.0,10.0,0.78
ENR-01263,STU-0017,MAC-COMP-8500,2025F,3.8,A,completed,4.0,12.5,0.84
ENR-02051,STU-0017,MAC-COMP-8500,2025F,3.8,A,completed,4.0,12.5,0.84
ENR-00144,STU-0017,MAC-COMP-8220,2025S,3.08,B+,completed,5.0,6.4,0.9
ENR-00146,STU-0017,MAC-COMP-8470,2025S,3.25,B+,completed,5.0,8.1,0.78
ENR-00147,STU-0017,MAC-COMP-8150,2025S,3.14,B+,completed,4.0,9.9,0.48
ENR-01198,STU-0017,MAC-COMP-8390,2025S,3.33,B+,completed,4.0,12.3,0.41
ENR-01705,STU-0017,MAC-BU-8120,2025S,3.33,B+,completed,4.0,12.0,0.48
ENR-01986,STU-0017,MAC-COMP-8390,2025S,3.33,B+,completed,4.0,12.3,0.41
ENR-02493,STU-0017,MAC-BU-8120,2025S,3.33,B+,completed,4.0,12.0,0.48
ENR-00143,STU-0017,MAC-COMP-8110,2025W,3.25,B+,completed,5.0,6.8,0.62
ENR-01096,STU-0017,MAC-COMP-8207,2026F,3.0,B,completed,5.0,8.7,0.85
ENR-01608,STU-0017,MAC-COMP-8740,2026F,3.8,A,completed,3.0,10.9,0.56
ENR-00153,STU-0018,MAC-COMP-8340,2025F,3.53,A-,completed,3.0,12.2,0.55
ENR-00154,STU-0018,MAC-BU-7600,2025F,3.4,A-,completed,5.0,6.3,0.54
ENR-01636,STU-0018,MAC-COMP-8790,2025F,2.33,C+,completed,4.0,12.2,0.86
ENR-01774,STU-0018,MAC-BU-8130,2025F,3.8,A,completed,4.0,9.3,0.46
ENR-02424,STU-0018,MAC-COMP-8790,2025F,2.33,C+,completed,4.0,12.2,0.86
ENR-02562,STU-0018,MAC-BU-8130,2025F,3.8,A,completed,4.0,9.3,0.46
ENR-00149,STU-0018,MAC-COMP-8220,2025S,3.18,B+,completed,5.0,6.3,0.59
ENR-00150,STU-0018,MAC-COMP-8150,2025S,3.99,A+,completed,5.0,6.0,0.7
ENR-00151,STU-0018,MAC-COMP-8470,2025S,2.92,B,completed,4.0,12.9,0.47
ENR-00152,STU-0018,MAC-COMP-8250,2025S,2.89,B,completed,3.0,12.9,0.76
ENR-01507,STU-0018,MAC-COMP-8610,2025S,3.8,A,completed,3.0,11.1,0.7
ENR-01680,STU-0018,MAC-BU-8120,2025S,3.8,A,completed,4.0,7.6,0.81
ENR-02295,STU-0018,MAC-COMP-8610,2025S,3.8,A,completed,3.0,11.1,0.7
ENR-02468,STU-0018,MAC-BU-8120,2025S,3.8,A,completed,4.0,7.6,0.81
ENR-00148,STU-0018,MAC-COMP-8110,2025W,3.45,A-,completed,5.0,12.6,0.69
ENR-01033,STU-0018,MAC-COMP-8130,2026S,3.0,B,completed,3.0,8.2,0.91
ENR-00157,STU-0019,MAC-COMP-8110,2025F,2.8,B,completed,5.0,8.1,0.47
ENR-01720,STU-0019,MAC-BU-8130,2025S,3.33,B+,completed,5.0,13.1,0.87
ENR-02508,STU-0019,MAC-BU-8130,2025S,3.33,B+,completed,5.0,13.1,0.87
ENR-01115,STU-0019,MAC-COMP-8207,2026F,3.33,B+,completed,3.0,6.2,0.62
ENR-01903,STU-0019,MAC-COMP-8207,2026F,3.33,B+,completed,3.0,6.2,0.62
ENR-01359,STU-0019,MAC-COMP-8540,2026S,3.67,A-,completed,5.0,8.2,0.84
ENR-02147,STU-0019,MAC-COMP-8540,2026S,3.67,A-,completed,5.0,8.2,0.84
ENR-00167,STU-0020,MAC-COMP-8150,2025F,3.29,B+,completed,4.0,8.0,0.95
ENR-00169,STU-0020,MAC-BU-7700,2025F,2.78,B,completed,4.0,7.5,0.94
ENR-00163,STU-0020,MAC-COMP-8250,2025S,3.25,B+,completed,4.0,12.5,0.53
ENR-00164,STU-0020,MAC-COMP-8340,2025S,3.64,A-,completed,4.0,8.5,0.49
ENR-00165,STU-0020,MAC-COMP-8220,2025S,3.1,B+,completed,3.0,13.5,0.84
ENR-00166,STU-0020,MAC-COMP-8470,2025S,3.33,A-,completed,4.0,11.2,0.94
ENR-01425,STU-0020,MAC-COMP-8590,2025S,3.0,B,completed,3.0,8.1,0.61
ENR-01513,STU-0020,MAC-COMP-8640,2025S,3.8,A,completed,5.0,13.2,0.77
ENR-02213,STU-0020,MAC-COMP-8590,2025S,3.0,B,completed,3.0,8.1,0.61
ENR-02301,STU-0020,MAC-COMP-8640,2025S,3.8,A,completed,5.0,13.2,0.77
ENR-00162,STU-0020,MAC-COMP-8110,2025W,2.86,B,completed,3.0,11.5,0.69
ENR-01066,STU-0020,MAC-COMP-8130,2026F,3.33,B+,completed,3.0,9.8,0.91
ENR-01854,STU-0020,MAC-COMP-8130,2026F,3.33,B+,completed,3.0,9.8,0.91
ENR-01228,STU-0020,MAC-COMP-8490,2026S,3.67,A-,completed,4.0,9.6,0.49
ENR-00171,STU-0021,MAC-COMP-8110,2025F,3.63,A-,completed,5.0,8.6,0.47
ENR-01579,STU-0021,MAC-COMP-8700,2025F,3.33,B+,completed,3.0,9.6,0.54
ENR-02367,STU-0021,MAC-COMP-8700,2025F,3.33,B+,completed,3.0,9.6,0.54
ENR-01352,STU-0021,MAC-COMP-8540,2026F,3.0,B,completed,4.0,13.8,0.49
ENR-02140,STU-0021,MAC-COMP-8540,2026F,3.0,B,completed,4.0,13.8,0.49
ENR-01062,STU-0021,MAC-COMP-8130,2026S,4.0,A+,completed,4.0,13.2,0.49
ENR-01302,STU-0021,MAC-COMP-8500,2026S,2.0,C,completed,5.0,7.4,0.79
ENR-01721,STU-0021,MAC-BU-8130,2026S,4.0,A+,completed,4.0,12.2,0.52
ENR-00176,STU-0022,MAC-COMP-8110,2025F,3.11,B+,completed,4.0,11.2,0.92
ENR-01304,STU-0022,MAC-COMP-8500,2025F,3.8,A,completed,3.0,12.3,0.68
ENR-01768,STU-0022,MAC-BU-8130,2025F,3.33,B+,completed,3.0,6.3,0.73
ENR-02092,STU-0022,MAC-COMP-8500,2025F,3.8,A,completed,3.0,12.3,0.68
ENR-02556,STU-0022,MAC-BU-8130,2025F,3.33,B+,completed,3.0,6.3,0.73
ENR-01374,STU-0022,MAC-COMP-8570,2025S,3.33,B+,completed,3.0,9.4,0.79
ENR-02162,STU-0022,MAC-COMP-8570,2025S,3.33,B+,completed,3.0,9.4,0.79
ENR-00182,STU-0022,MAC-COMP-8250,2026S,3.64,A-,completed,4.0,11.1,0.93
ENR-00183,STU-0022,MAC-BU-7600,2026S,2.9,B,completed,5.0,13.4,0.8
ENR-00184,STU-0022,MAC-COMP-8890,2026S,2.82,B,completed,5.0,12.6,0.54
ENR-00185,STU-0023,MAC-COMP-8110,2024F,2.75,B,completed,4.0,13.0,0.55
ENR-01138,STU-0023,MAC-COMP-8380,2025F,3.0,B,completed,5.0,7.7,0.67
ENR-01504,STU-0023,MAC-COMP-8610,2025F,3.0,B,completed,3.0,12.1,0.92
ENR-01926,STU-0023,MAC-COMP-8380,2025F,3.0,B,completed,5.0,7.7,0.67
ENR-02292,STU-0023,MAC-COMP-8610,2025F,3.0,B,completed,3.0,12.1,0.92
ENR-01542,STU-0023,MAC-COMP-8640,2025S,3.0,B,completed,4.0,7.3,0.72
ENR-02330,STU-0023,MAC-COMP-8640,2025S,3.0,B,completed,4.0,7.3,0.72
ENR-00186,STU-0023,MAC-COMP-8340,2025W,3.43,A-,completed,3.0,9.8,0.53
ENR-00188,STU-0023,MAC-COMP-8250,2025W,3.43,A-,completed,3.0,7.6,0.93
ENR-00189,STU-0023,MAC-COMP-8150,2025W,3.22,B+,completed,5.0,13.5,0.62
ENR-01604,STU-0023,MAC-COMP-8740,2026F,3.33,B+,completed,4.0,12.4,0.52
ENR-00190,STU-0024,MAC-COMP-8110,2024F,2.76,B,completed,4.0,9.3,0.83
ENR-00195,STU-0024,MAC-COMP-8340,2025S,3.26,B+,completed,3.0,6.2,0.67
ENR-00196,STU-0024,MAC-BU-7500,2025S,3.66,A-,completed,3.0,8.3,0.47
ENR-01279,STU-0024,MAC-COMP-8500,2025S,3.33,B+,completed,5.0,8.8,0.8
ENR-01458,STU-0024,MAC-COMP-8610,2025S,3.67,A-,completed,3.0,7.9,0.46
ENR-02067,STU-0024,MAC-COMP-8500,2025S,3.33,B+,completed,5.0,8.8,0.8
ENR-02246,STU-0024,MAC-COMP-8610,2025S,3.67,A-,completed,3.0,7.9,0.46
ENR-00191,STU-0024,MAC-COMP-8150,2025W,4.0,A+,completed,5.0,9.2,0.68
ENR-00192,STU-0024,MAC-COMP-8250,2025W,3.66,A-,completed,4.0,13.2,0.8
ENR-00193,STU-0024,MAC-COMP-8470,2025W,2.95,B,completed,4.0,13.8,0.86
ENR-00199,STU-0025,MAC-COMP-8110,2024F,3.48,A-,completed,5.0,12.6,0.54
ENR-01250,STU-0025,MAC-COMP-8490,2025S,3.8,A,completed,5.0,11.2,0.94
ENR-01641,STU-0025,MAC-COMP-8790,2025S,3.67,A-,completed,3.0,11.8,0.46
ENR-02038,STU-0025,MAC-COMP-8490,2025S,3.8,A,completed,5.0,11.2,0.94
ENR-02429,STU-0025,MAC-COMP-8790,2025S,3.67,A-,completed,3.0,11.8,0.46
ENR-00200,STU-0025,MAC-COMP-8150,2025W,2.8,B,completed,5.0,7.0,0.79
ENR-00203,STU-0025,MAC-COMP-8470,2025W,3.73,A,completed,4.0,13.2,0.54
ENR-01284,STU-0025,MAC-COMP-8500,2026F,3.33,B+,completed,3.0,9.2,0.85
ENR-01607,STU-0025,MAC-COMP-8740,2026F,3.0,B,completed,4.0,6.8,0.68
ENR-00204,STU-0026,MAC-COMP-8110,2024F,3.41,A-,completed,4.0,12.1,0.8
ENR-00209,STU-0026,MAC-COMP-8250,2025S,3.53,A-,completed,4.0,9.5,0.88
ENR-00210,STU-0026,MAC-BU-7500,2025S,4.0,A+,completed,5.0,12.4,0.57
