enrollment_id,student_id,course_id,term_code,grade_point,grade_letter,completion_status,feedback_rating,hours_per_week,engagement_score
ENR-00033,STU-0003,MAC-COMP-8890,2025F,3.36,A-,completed,5,7.0,0.53
ENR-00034,STU-0004,MAC-COMP-8110,2025F,3.46,A-,completed,3,11.4,0.93
ENR-00035,STU-0004,MAC-COMP-8250,2026W,3.86,A,completed,3,8.3,0.63
ENR-00036,STU-0004,MAC-COMP-8150,2026W,2.68,B-,completed,4,6.1,0.73
ENR-00037,STU-0004,MAC-COMP-8340,2026W,3.02,B+,completed,4,7.9,0.88
ENR-00038,STU-0004,MAC-COMP-8470,2026W,3.52,A-,completed,5,6.7,0.74
ENR-00039,STU-0004,MAC-COMP-8220,2026S,,,in-progress,,10.2,0.58
ENR-00040,STU-0004,MAC-BU-7600,2026S,2.58,B-,completed,5,6.6,0.91
ENR-00041,STU-0004,MAC-BU-7700,2026S,,,in-progress,,8.9,0.61
ENR-00042,STU-0004,MAC-COMP-8890,2026S,3.43,A-,completed,4,6.8,0.74
ENR-00043,STU-0005,MAC-COMP-8110,2025F,2.92,B,completed,4,12.0,0.66
ENR-00044,STU-0005,MAC-COMP-8150,2026W,3.81,A,completed,4,8.2,0.72
ENR-00045,STU-0005,MAC-COMP-8340,2026W,3.30,A-,completed,5,12.7,0.45
ENR-00046,STU-0005,MAC-COMP-8250,2026W,3.16,B+,completed,3,11.8,0.84
ENR-00047,STU-0005,MAC-COMP-8470,2026W,3.01,B+,completed,3,7.9,0.93
ENR-00048,STU-0006,MAC-COMP-8110,2025W,3.77,A,completed,5,7.9,0.66
ENR-00049,STU-0006,MAC-COMP-8150,2025S,3.53,A-,completed,3,7.9,0.47
ENR-00050,STU-0006,MAC-COMP-8340,2025S,4.00,A+,completed,4,8.9,0.59
ENR-00051,STU-0006,MAC-COMP-8470,2025S,2.87,B,completed,4,6.0,0.47
ENR-00052,STU-0006,MAC-COMP-8220,2025S,,,withdrawn,,10.4,0.88
ENR-00053,STU-0006,MAC-COMP-8250,2025F,2.87,B,completed,5,6.3,0.65
ENR-00054,STU-0006,MAC-COMP-8220,2025F,3.37,A-,completed,5,6.6,0.59
ENR-00055,STU-0006,MAC-BU-7500,2025F,3.32,A-,completed,5,6.4,0.83
ENR-00056,STU-0006,MAC-BU-7700,2026W,,,in-progress,,8.6,0.55
ENR-00057,STU-0006,MAC-BU-7600,2026W,3.17,B+,completed,4,12.2,0.79
ENR-00058,STU-0006,MAC-COMP-8830,2026W,,,in-progress,,13.3,0.78
ENR-00059,STU-0006,MAC-COMP-8890,2026W,3.10,B+,completed,3,7.4,0.50
ENR-00060,STU-0007,MAC-COMP-8110,2025W,3.14,B+,completed,5,11.3,0.48
ENR-00061,STU-0007,MAC-COMP-8150,2025S,3.55,A-,completed,5,7.7,0.85
ENR-00062,STU-0007,MAC-COMP-8220,2025S,3.25,B+,completed,4,11.1,0.69
ENR-00063,STU-0007,MAC-COMP-8340,2025S,,,withdrawn,,9.0,0.72
ENR-00064,STU-0007,MAC-COMP-8470,2025S,3.12,B+,completed,3,6.7,0.84
ENR-00065,STU-0007,MAC-COMP-8250,2025F,3.64,A-,completed,5,13.3,0.57
ENR-00066,STU-0007,MAC-COMP-8340,2025F,2.97,B,completed,3,13.6,0.67
ENR-00067,STU-0007,MAC-BU-7600,2025F,2.98,B,completed,5,6.6,0.71
ENR-00068,STU-0007,MAC-BU-7500,2026W,,,in-progress,,6.6,0.93
ENR-00069,STU-0007,MAC-BU-7700,2026W,,,in-progress,,6.9,0.76
ENR-00070,STU-0007,MAC-COMP-8830,2026W,3.79,A,completed,4,9.2,0.75
ENR-00071,STU-0007,MAC-COMP-8890,2026W,3.68,A-,completed,5,12.8,0.49
ENR-00072,STU-0008,MAC-COMP-8110,2025W,3.17,B+,completed,5,9.3,0.73
ENR-00073,STU-0008,MAC-COMP-8250,2025S,3.60,A-,completed,5,8.8,0.63
ENR-00074,STU-0008,MAC-COMP-8150,2025S,3.49,A-,completed,3,9.2,0.52
ENR-00075,STU-0008,MAC-COMP-8220,2025S,2.83,B,completed,4,14.0,0.87
ENR-00076,STU-0008,MAC-COMP-8470,2025S,3.63,A-,completed,5,6.4,0.74
ENR-00077,STU-0008,MAC-COMP-8340,2025F,3.81,A,completed,3,11.2,0.58
ENR-00078,STU-0008,MAC-BU-7500,2025F,3.36,A-,completed,3,10.0,0.58
ENR-00079,STU-0008,MAC-BU-7600,2025F,3.18,B+,completed,3,7.2,0.49
ENR-00080,STU-0008,MAC-BU-7700,2026W,,,in-progress,,7.7,0.51
ENR-00081,STU-0008,MAC-COMP-8780,2026W,,,in-progress,,6.9,0.91
ENR-00082,STU-0008,MAC-COMP-8650,2026W,3.73,A,completed,3,7.3,0.92
ENR-00083,STU-0008,MAC-COMP-8890,2026W,,,in-progress,,12.5,0.51
ENR-00084,STU-0009,MAC-COMP-8110,2024F,,,withdrawn,,6.6,0.63
ENR-00085,STU-0009,MAC-COMP-8110,2025W,,,in-progress,,8.9,0.48
ENR-00086,STU-0009,MAC-BU-7600,2025W,,,in-progress,,6.3,0.64
ENR-00087,STU-0009,MAC-BU-7500,2025W,3.14,B+,completed,3,9.8,0.88
ENR-00088,STU-0009,MAC-BU-7700,2025W,2.64,B-,completed,3,11.6,0.59
ENR-00089,STU-0010,MAC-COMP-8110,2025W,3.56,A-,completed,4,12.6,0.92
ENR-00090,STU-0010,MAC-COMP-8470,2025S,,,in-progress,,9.1,0.63
ENR-00091,STU-0010,MAC-COMP-8220,2025S,3.27,B+,completed,4,9.9,0.50
ENR-00092,STU-0010,MAC-COMP-8250,2025S,2.84,B,completed,5,10.4,0.77
ENR-00093,STU-0010,MAC-COMP-8150,2025S,3.54,A-,completed,4,10.0,0.78
ENR-00094,STU-0011,MAC-COMP-8110,2025F,3.89,A,completed,4,7.2,0.58
ENR-00095,STU-0011,MAC-COMP-8250,2026W,3.64,A-,completed,5,13.2,0.54
ENR-00096,STU-0011,MAC-COMP-8340,2026W,3.43,A-,completed,4,8.7,0.50
ENR-00097,STU-0011,MAC-COMP-8470,2026W,3.08,B+,completed,5,6.8,0.83
ENR-00098,STU-0011,MAC-COMP-8150,2026W,3.18,B+,completed,5,10.3,0.81
ENR-00099,STU-0011,MAC-COMP-8220,2026S,3.06,B+,completed,5,13.1,0.81
ENR-00100,STU-0011,MAC-BU-7700,2026S,,,in-progress,,13.7,0.55
ENR-00101,STU-0011,MAC-BU-7600,2026S,,,in-progress,,6.9,0.61
ENR-00102,STU-0011,MAC-COMP-8890,2026S,,,in-progress,,12.0,0.86
ENR-00103,STU-0012,MAC-COMP-8110,2024F,3.39,A-,completed,4,7.7,0.77
ENR-00104,STU-0012,MAC-COMP-8340,2025W,3.24,B+,completed,4,7.2,0.46
ENR-00105,STU-0012,MAC-COMP-8470,2025W,3.78,A,completed,3,9.5,0.74
ENR-00106,STU-0012,MAC-COMP-8220,2025W,3.55,A-,completed,3,13.8,0.61
ENR-00107,STU-0012,MAC-COMP-8250,2025W,3.06,B+,completed,5,11.1,0.80
ENR-00108,STU-0012,MAC-COMP-8150,2025S,4.00,A+,completed,4,8.4,0.84
ENR-00109,STU-0012,MAC-BU-7700,2025S,3.58,A-,completed,5,8.6,0.91
ENR-00110,STU-0012,MAC-BU-7600,2025S,3.83,A,completed,5,11.5,0.49
ENR-00111,STU-0012,MAC-BU-7500,2025F,,,in-progress,,7.0,0.65
ENR-00112,STU-0012,MAC-COMP-8830,2025F,2.92,B,completed,5,8.9,0.87
ENR-00113,STU-0012,MAC-COMP-8720,2025F,3.14,B+,completed,5,6.3,0.91
ENR-00114,STU-0012,MAC-COMP-8890,2025F,,,in-progress,,12.4,0.54
ENR-00115,STU-0013,MAC-COMP-8110,2024F,2.88,B,completed,3,6.4,0.68
ENR-00116,STU-0013,MAC-COMP-8470,2025W,,,in-progress,,8.5,0.67
ENR-00117,STU-0013,MAC-COMP-8150,2025W,,,in-progress,,12.2,0.52
ENR-00118,STU-0013,MAC-COMP-8250,2025W,,,in-progress,,10.8,0.67
ENR-00119,STU-0013,MAC-COMP-8220,2025W,3.64,A-,completed,5,8.6,0.59
ENR-00120,STU-0014,MAC-COMP-8110,2025F,2.89,B,completed,3,13.7,0.73
ENR-00121,STU-0014,MAC-COMP-8470,2026W,2.76,B,completed,5,13.5,0.46
ENR-00122,STU-0014,MAC-COMP-8220,2026W,,,in-progress,,10.4,0.67
ENR-00123,STU-0014,MAC-COMP-8250,2026W,,,in-progress,,11.8,0.53
ENR-00124,STU-0014,MAC-COMP-8340,2026W,,,in-progress,,8.3,0.75
ENR-00125,STU-0015,MAC-COMP-8110,2025W,3.41,A-,completed,4,10.1,0.89
ENR-00126,STU-0015,MAC-COMP-8220,2025S,3.57,A-,completed,5,9.3,0.50
ENR-00127,STU-0015,MAC-COMP-8250,2025S,3.65,A-,completed,3,12.8,0.89
ENR-00128,STU-0015,MAC-COMP-8470,2025S,3.09,B+,completed,5,10.8,0.63
ENR-00129,STU-0015,MAC-COMP-8150,2025S,,,withdrawn,,13.6,0.46
ENR-00130,STU-0015,MAC-COMP-8340,2025F,,,withdrawn,,6.7,0.80
ENR-00131,STU-0015,MAC-COMP-8150,2025F,,,in-progress,,8.2,0.48
ENR-00132,STU-0015,MAC-BU-7500,2025F,,,in-progress,,11.4,0.58
ENR-00133,STU-0015,MAC-COMP-8890,2025F,,,in-progress,,9.8,0.59
ENR-00134,STU-0016,MAC-COMP-8110,2025F,,,withdrawn,,7.4,0.55
ENR-00135,STU-0016,MAC-COMP-8110,2026W,3.20,B+,completed,3,13.5,0.46
ENR-00136,STU-0016,MAC-BU-7600,2026W,3.61,A-,completed,3,10.0,0.78
ENR-00137,STU-0016,MAC-BU-7700,2026W,4.00,A+,completed,4,13.2,0.56
ENR-00138,STU-0016,MAC-BU-7500,2026W,3.01,B+,completed,4,7.1,0.82
ENR-00139,STU-0016,MAC-COMP-8340,2026S,3.31,A-,completed,5,12.0,0.56
ENR-00140,STU-0016,MAC-COMP-8150,2026S,3.42,A-,completed,4,11.9,0.50
ENR-00141,STU-0016,MAC-COMP-8250,2026S,,,in-progress,,6.5,0.56
ENR-00142,STU-0016,MAC-COMP-8890,2026S,,,in-progress,,6.9,0.54
ENR-00143,STU-0017,MAC-COMP-8110,2025W,3.25,B+,completed,5,6.8,0.62
ENR-00144,STU-0017,MAC-COMP-8220,2025S,3.08,B+,completed,5,6.4,0.90
ENR-00145,STU-0017,MAC-COMP-8340,2025S,,,in-progress,,13.9,0.73
ENR-00146,STU-0017,MAC-COMP-8470,2025S,3.25,B+,completed,5,8.1,0.78
ENR-00147,STU-0017,MAC-COMP-8150,2025S,3.14,B+,completed,4,9.9,0.48
ENR-00148,STU-0018,MAC-COMP-8110,2025W,3.45,A-,completed,5,12.6,0.69
ENR-00149,STU-0018,MAC-COMP-8220,2025S,3.18,B+,completed,5,6.3,0.59
ENR-00150,STU-0018,MAC-COMP-8150,2025S,3.99,A+,completed,5,6.0,0.70
ENR-00151,STU-0018,MAC-COMP-8470,2025S,2.92,B,completed,4,12.9,0.47
ENR-00152,STU-0018,MAC-COMP-8250,2025S,2.89,B,completed,3,12.9,0.76
ENR-00153,STU-0018,MAC-COMP-8340,2025F,3.53,A-,completed,3,12.2,0.55
ENR-00154,STU-0018,MAC-BU-7600,2025F,3.40,A-,completed,5,6.3,0.54
ENR-00155,STU-0018,MAC-BU-7700,2025F,,,in-progress,,6.0,0.80
ENR-00156,STU-0018,MAC-COMP-8890,2025F,,,in-progress,,10.0,0.74
ENR-00157,STU-0019,MAC-COMP-8110,2025F,2.80,B,completed,5,8.1,0.47
ENR-00158,STU-0019,MAC-COMP-8220,2026W,,,in-progress,,10.9,0.88
ENR-00159,STU-0019,MAC-COMP-8470,2026W,,,in-progress,,6.6,0.56
ENR-00160,STU-0019,MAC-COMP-8340,2026W,4.00,A+,completed,4,13.7,0.47
ENR-00161,STU-0019,MAC-COMP-8250,2026W,3.59,A-,completed,5,12.3,0.75
ENR-00162,STU-0020,MAC-COMP-8110,2025W,2.86,B,completed,3,11.5,0.69
ENR-00163,STU-0020,MAC-COMP-8250,2025S,3.25,B+,completed,4,12.5,0.53
ENR-00164,STU-0020,MAC-COMP-8340,2025S,3.64,A-,completed,4,8.5,0.49
ENR-00165,STU-0020,MAC-COMP-8220,2025S,3.10,B+,completed,3,13.5,0.84
ENR-00166,STU-0020,MAC-COMP-8470,2025S,3.33,A-,completed,4,11.2,0.94
ENR-00167,STU-0020,MAC-COMP-8150,2025F,3.29,B+,completed,4,8.0,0.95
ENR-00168,STU-0020,MAC-BU-7600,2025F,,,in-progress,,11.8,0.93
ENR-00169,STU-0020,MAC-BU-7700,2025F,2.78,B,completed,4,7.5,0.94
ENR-00170,STU-0020,MAC-COMP-8890,2025F,,,in-progress,,7.0,0.55
ENR-00171,STU-0021,MAC-COMP-8110,2025F,3.63,A-,completed,5,8.6,0.47
ENR-00172,STU-0021,MAC-COMP-8470,2026W,3.80,A,completed,5,11.9,0.87
ENR-00173,STU-0021,MAC-COMP-8150,2026W,,,in-progress,,10.4,0.62
ENR-00174,STU-0021,MAC-COMP-8220,2026W,,,in-progress,,10.6,0.65
ENR-00175,STU-0021,MAC-COMP-8250,2026W,,,in-progress,,8.4,0.83
ENR-00176,STU-0022,MAC-COMP-8110,2025F,3.11,B+,completed,4,11.2,0.92
ENR-00177,STU-0022,MAC-COMP-8220,2026W,,,withdrawn,,9.2,0.74
ENR-00178,STU-0022,MAC-COMP-8150,2026W,2.65,B-,completed,4,8.8,0.83
ENR-00179,STU-0022,MAC-COMP-8340,2026W,3.58,A-,completed,3,11.8,0.61
ENR-00180,STU-0022,MAC-COMP-8470,2026W,3.43,A-,completed,5,8.7,0.79
ENR-00181,STU-0022,MAC-COMP-8220,2026S,,,in-progress,,12.0,0.72
ENR-00182,STU-0022,MAC-COMP-8250,2026S,3.64,A-,completed,4,11.1,0.93
ENR-00183,STU-0022,MAC-BU-7600,2026S,2.90,B,completed,5,13.4,0.80
ENR-00184,STU-0022,MAC-COMP-8890,2026S,2.82,B,completed,5,12.6,0.54
ENR-00185,STU-0023,MAC-COMP-8110,2024F,2.75,B,completed,4,13.0,0.55
ENR-00186,STU-0023,MAC-COMP-8340,2025W,3.43,A-,completed,3,9.8,0.53
ENR-00187,STU-0023,MAC-COMP-8470,2025W,,,in-progress,,12.8,0.89
ENR-00188,STU-0023,MAC-COMP-8250,2025W,3.43,A-,completed,3,7.6,0.93
ENR-00189,STU-0023,MAC-COMP-8150,2025W,3.22,B+,completed,5,13.5,0.62
ENR-00190,STU-0024,MAC-COMP-8110,2024F,2.76,B,completed,4,9.3,0.83
ENR-00191,STU-0024,MAC-COMP-8150,2025W,4.00,A+,completed,5,9.2,0.68
ENR-00192,STU-0024,MAC-COMP-8250,2025W,3.66,A-,completed,4,13.2,0.80
ENR-00193,STU-0024,MAC-COMP-8470,2025W,2.95,B,completed,4,13.8,0.86
ENR-00194,STU-0024,MAC-COMP-8220,2025W,3.74,A,completed,4,12.9,0.58
ENR-00195,STU-0024,MAC-COMP-8340,2025S,3.26,B+,completed,3,6.2,0.67
ENR-00196,STU-0024,MAC-BU-7500,2025S,3.66,A-,completed,3,8.3,0.47
ENR-00197,STU-0024,MAC-BU-7600,2025S,,,in-progress,,6.0,0.48
ENR-00198,STU-0024,MAC-COMP-8890,2025S,,,in-progress,,7.5,0.46
ENR-00199,STU-0025,MAC-COMP-8110,2024F,3.48,A-,completed,5,12.6,0.54
ENR-00200,STU-0025,MAC-COMP-8150,2025W,2.80,B,completed,5,7.0,0.79
ENR-00201,STU-0025,MAC-COMP-8340,2025W,,,in-progress,,10.1,0.63
ENR-00202,STU-0025,MAC-COMP-8220,2025W,,,in-progress,,7.1,0.69
ENR-00203,STU-0025,MAC-COMP-8470,2025W,3.73,A,completed,4,13.2,0.54
ENR-00204,STU-0026,MAC-COMP-8110,2024F,3.41,A-,completed,4,12.1,0.80
ENR-00205,STU-0026,MAC-COMP-8340,2025W,3.38,A-,completed,5,9.0,0.54
ENR-00206,STU-0026,MAC-COMP-8470,2025W,3.24,B+,completed,4,10.4,0.78
ENR-00207,STU-0026,MAC-COMP-8150,2025W,3.56,A-,completed,5,8.3,0.70
ENR-00208,STU-0026,MAC-COMP-8220,2025W,3.51,A-,completed,5,12.6,0.56
ENR-00209,STU-0026,MAC-COMP-8250,2025S,3.53,A-,completed,4,9.5,0.88
ENR-00210,STU-0026,MAC-BU-7500,2025S,4.00,A+,completed,5,12.4,0.57
ENR-00211,STU-0026,MAC-BU-7600,2025S,3.56,A-,completed,5,6.4,0.89
ENR-00212,STU-0026,MAC-COMP-8890,2025S,2.77,B,completed,3,9.1,0.69
ENR-00213,STU-0027,MAC-COMP-8110,2024F,3.23,B+,completed,3,12.9,0.68
ENR-00214,STU-0027,MAC-COMP-8340,2025W,3.66,A-,completed,5,6.1,0.46
ENR-00215,STU-0027,MAC-COMP-8470,2025W,2.71,B,completed,3,12.1,0.79
ENR-00216,STU-0027,MAC-COMP-8150,2025W,,,withdrawn,,13.8,0.66
ENR-00217,STU-0027,MAC-COMP-8220,2025W,3.56,A-,completed,3,9.6,0.71
ENR-00218,STU-0027,MAC-COMP-8150,2025S,2.19,C+,completed,3,7.6,0.91
ENR-00219,STU-0027,MAC-COMP-8250,2025S,3.01,B+,completed,4,6.5,0.75
ENR-00220,STU-0027,MAC-BU-7500,2025S,3.28,B+,completed,3,7.0,0.74
ENR-00221,STU-0027,MAC-BU-7700,2025F,3.56,A-,completed,5,10.1,0.83
ENR-00222,STU-0027,MAC-BU-7600,2025F,,,in-progress,,7.3,0.60
ENR-00223,STU-0027,MAC-COMP-8830,2025F,,,in-progress,,6.4,0.55
ENR-00224,STU-0027,MAC-COMP-8890,2025F,,,withdrawn,,13.6,0.94
ENR-00225,STU-0028,MAC-COMP-8110,2024F,3.16,B+,completed,4,7.7,0.92
ENR-00226,STU-0028,MAC-COMP-8340,2025W,,,in-progress,,9.6,0.57
ENR-00227,STU-0028,MAC-COMP-8220,2025W,,,in-progress,,12.7,0.67
ENR-00228,STU-0028,MAC-COMP-8470,2025W,,,in-progress,,6.7,0.68
ENR-00229,STU-0028,MAC-COMP-8150,2025W,3.83,A,completed,3,7.2,0.95
ENR-00230,STU-0029,MAC-COMP-8110,2024F,3.25,B+,completed,5,8.1,0.81
ENR-00231,STU-0029,MAC-COMP-8250,2025W,3.17,B+,completed,5,8.2,0.64
ENR-00232,STU-0029,MAC-COMP-8150,2025W,2.58,B-,completed,3,13.2,0.79
ENR-00233,STU-0029,MAC-COMP-8470,2025W,3.10,B+,completed,5,8.3,0.74
ENR-00234,STU-0029,MAC-COMP-8340,2025W,3.87,A,completed,4,13.2,0.47
ENR-00235,STU-0029,MAC-COMP-8220,2025S,2.96,B,completed,4,7.3,0.85
ENR-00236,STU-0029,MAC-BU-7500,2025S,3.09,B+,completed,5,9.0,0.80
ENR-00237,STU-0029,MAC-BU-7600,2025S,3.15,B+,completed,4,11.8,0.69
ENR-00238,STU-0029,MAC-BU-7700,2025F,3.18,B+,completed,4,14.0,0.74
ENR-00239,STU-0029,MAC-COMP-8720,2025F,3.48,A-,completed,5,7.6,0.81
ENR-00240,STU-0029,MAC-COMP-8780,2025F,,,in-progress,,8.5,0.71
ENR-00241,STU-0029,MAC-COMP-8890,2025F,,,in-progress,,6.8,0.88
ENR-00242,STU-0030,MAC-COMP-8110,2025W,3.35,A-,completed,5,7.9,0.90
ENR-00243,STU-0030,MAC-COMP-8250,2025S,2.69,B-,completed,3,10.5,0.82
ENR-00244,STU-0030,MAC-COMP-8220,2025S,2.51,B-,completed,3,12.9,0.87
ENR-00245,STU-0030,MAC-COMP-8340,2025S,3.46,A-,completed,5,13.0,0.59
ENR-00246,STU-0030,MAC-COMP-8150,2025S,2.51,B-,completed,3,7.0,0.76
ENR-00247,STU-0030,MAC-COMP-8470,2025F,3.34,A-,completed,3,6.6,0.48
ENR-00248,STU-0030,MAC-BU-7700,2025F,,,withdrawn,,10.0,0.74
ENR-00249,STU-0030,MAC-BU-7600,2025F,2.71,B,completed,4,10.6,0.80
ENR-00250,STU-0030,MAC-BU-7700,2026W,,,in-progress,,6.0,0.69
ENR-00251,STU-0030,MAC-BU-7500,2026W,,,in-progress,,10.1,0.64
ENR-00252,STU-0030,MAC-COMP-8720,2026W,3.83,A,completed,4,10.6,0.62
ENR-00253,STU-0030,MAC-COMP-8890,2026W,2.62,B-,completed,4,6.8,0.80
ENR-00254,STU-0031,MAC-COMP-8110,2024F,3.27,B+,completed,4,12.2,0.72
ENR-00255,STU-0031,MAC-COMP-8340,2025W,3.03,B+,completed,4,8.6,0.66
ENR-00256,STU-0031,MAC-COMP-8220,2025W,2.76,B,completed,3,9.9,0.77
ENR-00257,STU-0031,MAC-COMP-8470,2025W,,,in-progress,,12.6,0.76
ENR-00258,STU-0031,MAC-COMP-8250,2025W,,,in-progress,,13.5,0.93
ENR-00259,STU-0032,MAC-COMP-8110,2025W,3.28,B+,completed,3,12.5,0.72
ENR-00260,STU-0032,MAC-COMP-8470,2025S,3.36,A-,completed,5,12.0,0.61
ENR-00261,STU-0032,MAC-COMP-8250,2025S,3.03,B+,completed,5,8.0,0.57
ENR-00262,STU-0032,MAC-COMP-8340,2025S,,,in-progress,,9.1,0.68
ENR-00263,STU-0032,MAC-COMP-8150,2025S,,,in-progress,,7.7,0.70
ENR-00264,STU-0033,MAC-COMP-8110,2025F,3.17,B+,completed,4,7.6,0.47
ENR-00265,STU-0033,MAC-COMP-8150,2026W,3.17,B+,completed,5,12.0,0.89
ENR-00266,STU-0033,MAC-COMP-8220,2026W,3.10,B+,completed,4,6.6,0.64
ENR-00267,STU-0033,MAC-COMP-8470,2026W,2.74,B,completed,3,10.6,0.81
ENR-00268,STU-0033,MAC-COMP-8250,2026W,3.11,B+,completed,4,6.4,0.64
ENR-00269,STU-0033,MAC-COMP-8340,2026S,3.64,A-,completed,5,11.4,0.52
ENR-00270,STU-0033,MAC-BU-7500,2026S,2.83,B,completed,3,12.9,0.80
ENR-00271,STU-0033,MAC-BU-7700,2026S,2.87,B,completed,3,12.0,0.52
ENR-00272,STU-0033,MAC-BU-7600,2026F,,,in-progress,,8.1,0.66
ENR-00273,STU-0033,MAC-COMP-8780,2026F,3.58,A-,completed,3,10.9,0.93
ENR-00274,STU-0033,MAC-COMP-8650,2026F,3.13,B+,completed,3,12.9,0.75
ENR-00275,STU-0033,MAC-COMP-8890,2026F,3.45,A-,completed,5,9.9,0.66
ENR-00276,STU-0034,MAC-COMP-8110,2025F,4.00,A+,completed,4,11.3,0.83
ENR-00277,STU-0034,MAC-COMP-8150,2026W,3.91,A+,completed,3,11.9,0.54
ENR-00278,STU-0034,MAC-COMP-8340,2026W,,,withdrawn,,7.7,0.93
ENR-00279,STU-0034,MAC-COMP-8250,2026W,3.24,B+,completed,4,12.0,0.51
ENR-00280,STU-0034,MAC-COMP-8220,2026W,3.57,A-,completed,4,6.2,0.77
ENR-00281,STU-0034,MAC-COMP-8470,2026S,,,in-progress,,13.5,0.52
ENR-00282,STU-0034,MAC-COMP-8340,2026S,,,in-progress,,8.4,0.89
ENR-00283,STU-0034,MAC-BU-7700,2026S,,,in-progress,,11.4,0.82
ENR-00284,STU-0034,MAC-COMP-8890,2026S,,,in-progress,,7.2,0.52
ENR-00285,STU-0035,MAC-COMP-8110,2025W,3.44,A-,completed,5,6.8,0.57
ENR-00286,STU-0035,MAC-COMP-8220,2025S,,,withdrawn,,9.6,0.76
ENR-00287,STU-0035,MAC-COMP-8150,2025S,3.15,B+,completed,5,13.5,0.79
ENR-00288,STU-0035,MAC-COMP-8470,2025S,3.60,A-,completed,5,13.1,0.90
ENR-00289,STU-0035,MAC-COMP-8340,2025S,3.04,B+,completed,3,7.4,0.94
ENR-00290,STU-0035,MAC-COMP-8220,2025F,3.80,A,completed,4,12.0,0.72
ENR-00291,STU-0035,MAC-COMP-8250,2025F,3.60,A-,completed,4,10.7,0.73
ENR-00292,STU-0035,MAC-BU-7600,2025F,3.07,B+,completed,4,9.8,0.84
ENR-00293,STU-0035,MAC-BU-7700,2026W,2.58,B-,completed,5,12.9,0.62
ENR-00294,STU-0035,MAC-BU-7500,2026W,2.56,B-,completed,4,13.3,0.83
ENR-00295,STU-0035,MAC-COMP-8650,2026W,,,in-progress,,7.1,0.60
ENR-00296,STU-0035,MAC-COMP-8890,2026W,3.54,A-,completed,4,11.2,0.88
ENR-00297,STU-0036,MAC-COMP-8110,2025F,3.24,B+,completed,5,9.0,0.94
ENR-00298,STU-0036,MAC-COMP-8220,2026W,,,in-progress,,9.3,0.78
